
---------- Begin Simulation Statistics ----------
system.cpu.icache.tags.warmup_cycle                 0                       # Cycle when the warmup percentage was hit.
system.cpu.icache.tags.occ_blocks::cpu.inst   769.436951                       # Average occupied blocks per requestor
system.cpu.icache.tags.occ_percent::cpu.inst     0.375702                       # Average percentage of cache occupancy
system.cpu.icache.tags.occ_percent::total     0.375702                       # Average percentage of cache occupancy
system.cpu.icache.ReadReq_hits::cpu.inst      9272538                       # number of ReadReq hits
system.cpu.icache.ReadReq_hits::total         9272538                       # number of ReadReq hits
system.cpu.icache.demand_hits::cpu.inst       9272538                       # number of demand (read+write) hits
system.cpu.icache.demand_hits::total          9272538                       # number of demand (read+write) hits
system.cpu.icache.overall_hits::cpu.inst      9272538                       # number of overall hits
system.cpu.icache.overall_hits::total         9272538                       # number of overall hits
system.cpu.icache.ReadReq_misses::cpu.inst        17291                       # number of ReadReq misses
system.cpu.icache.ReadReq_misses::total         17291                       # number of ReadReq misses
system.cpu.icache.demand_misses::cpu.inst        17291                       # number of demand (read+write) misses
system.cpu.icache.demand_misses::total          17291                       # number of demand (read+write) misses
system.cpu.icache.overall_misses::cpu.inst        17291                       # number of overall misses
system.cpu.icache.overall_misses::total         17291                       # number of overall misses
system.cpu.icache.ReadReq_miss_latency::cpu.inst   1832846000                       # number of ReadReq miss cycles
system.cpu.icache.ReadReq_miss_latency::total   1832846000                       # number of ReadReq miss cycles
system.cpu.icache.demand_miss_latency::cpu.inst   1832846000                       # number of demand (read+write) miss cycles
system.cpu.icache.demand_miss_latency::total   1832846000                       # number of demand (read+write) miss cycles
system.cpu.icache.overall_miss_latency::cpu.inst   1832846000                       # number of overall miss cycles
system.cpu.icache.overall_miss_latency::total   1832846000                       # number of overall miss cycles
system.cpu.icache.ReadReq_accesses::cpu.inst      9289829                       # number of ReadReq accesses(hits+misses)
system.cpu.icache.ReadReq_accesses::total      9289829                       # number of ReadReq accesses(hits+misses)
system.cpu.icache.demand_accesses::cpu.inst      9289829                       # number of demand (read+write) accesses
system.cpu.icache.demand_accesses::total      9289829                       # number of demand (read+write) accesses
system.cpu.icache.overall_accesses::cpu.inst      9289829                       # number of overall (read+write) accesses
system.cpu.icache.overall_accesses::total      9289829                       # number of overall (read+write) accesses
system.cpu.icache.ReadReq_miss_rate::cpu.inst     0.001861                       # miss rate for ReadReq accesses
system.cpu.icache.ReadReq_miss_rate::total     0.001861                       # miss rate for ReadReq accesses
system.cpu.icache.demand_miss_rate::cpu.inst     0.001861                       # miss rate for demand accesses
system.cpu.icache.demand_miss_rate::total     0.001861                       # miss rate for demand accesses
system.cpu.icache.overall_miss_rate::cpu.inst     0.001861                       # miss rate for overall accesses
system.cpu.icache.overall_miss_rate::total     0.001861                       # miss rate for overall accesses
system.cpu.icache.ReadReq_avg_miss_latency::cpu.inst       106000                       # average ReadReq miss latency
system.cpu.icache.ReadReq_avg_miss_latency::total       106000                       # average ReadReq miss latency
system.cpu.icache.demand_avg_miss_latency::cpu.inst       106000                       # average overall miss latency
system.cpu.icache.demand_avg_miss_latency::total       106000                       # average overall miss latency
system.cpu.icache.overall_avg_miss_latency::cpu.inst       106000                       # average overall miss latency
system.cpu.icache.overall_avg_miss_latency::total       106000                       # average overall miss latency
system.cpu.icache.blocked_cycles::no_mshrs            0                       # number of cycles access was blocked
system.cpu.icache.blocked_cycles::no_targets            0                       # number of cycles access was blocked
system.cpu.icache.blocked::no_mshrs                 0                       # number of cycles access was blocked
system.cpu.icache.blocked::no_targets               0                       # number of cycles access was blocked
system.cpu.icache.avg_blocked_cycles::no_mshrs          nan                       # average number of cycles each access was blocked
system.cpu.icache.avg_blocked_cycles::no_targets          nan                       # average number of cycles each access was blocked
system.cpu.icache.fast_writes                       0                       # number of fast writes performed
system.cpu.icache.cache_copies                      0                       # number of cache copies performed
system.cpu.icache.ReadReq_mshr_misses::cpu.inst        17291                       # number of ReadReq MSHR misses
system.cpu.icache.ReadReq_mshr_misses::total        17291                       # number of ReadReq MSHR misses
system.cpu.icache.demand_mshr_misses::cpu.inst        17291                       # number of demand (read+write) MSHR misses
system.cpu.icache.demand_mshr_misses::total        17291                       # number of demand (read+write) MSHR misses
system.cpu.icache.overall_mshr_misses::cpu.inst        17291                       # number of overall MSHR misses
system.cpu.icache.overall_mshr_misses::total        17291                       # number of overall MSHR misses
system.cpu.icache.ReadReq_mshr_miss_latency::cpu.inst   1763682000                       # number of ReadReq MSHR miss cycles
system.cpu.icache.ReadReq_mshr_miss_latency::total   1763682000                       # number of ReadReq MSHR miss cycles
system.cpu.icache.demand_mshr_miss_latency::cpu.inst   1763682000                       # number of demand (read+write) MSHR miss cycles
system.cpu.icache.demand_mshr_miss_latency::total   1763682000                       # number of demand (read+write) MSHR miss cycles
system.cpu.icache.overall_mshr_miss_latency::cpu.inst   1763682000                       # number of overall MSHR miss cycles
